,full_name,engine_capacity,resale_price,registered_year,insurance,transmission_type,kms_driven,owner_type,fuel_type,brand
2782,Etios G,1496.0,225000.0,2012,Third,Manual,80000.0,Third,Petrol,Toyota
2783,KUV 100,1198.0,400000.0,2016,Third,Manual,20000.0,First,Petrol,Mahindra
2784,Civic 1.8,1799.0,150000.0,2008,Third,Automatic,60000.0,Third,Petrol,Honda
2785,Verna VTVT,1591.0,880000.0,2018,Third,Manual,50000.0,First,Petrol,Hyundai
2786,Verna VTVT,1591.0,860000.0,2018,Third,Manual,50000.0,First,Petrol,Hyundai
2787,Alto Vxi,1061.0,300000.0,2021,Third,Manual,20000.0,First,Petrol,Maruti
2788,Swift 1.2,1197.0,165000.0,2010,Third,Manual,80000.0,Fourth,Petrol,Maruti
2789,i20 1.2,1197.0,241000.0,2011,First,Manual,41152.0,First,Petrol,Hyundai
2790,Grand i10,1197.0,361000.0,2015,First,Manual,14263.0,Second,Petrol,Hyundai
2791,Verna CRDi,1582.0,711000.0,2018,Third,Manual,79399.0,Second,Diesel,Hyundai
2792,Swift Dzire,1197.0,541000.0,2018,First,Manual,34424.0,First,Petrol,Maruti
2793,Nexon 1.2,1198.0,810000.0,2020,Third,Manual,17310.0,First,Petrol,Tata
2794,Jazz 1.2,1199.0,399000.0,2016,Third,Manual,82286.0,First,Petrol,Honda
2795,Polo 1.0,999.0,589000.0,2019,Third,Manual,17436.0,First,Petrol,Volkswagen
2796,Rapid 1.6,1598.0,356000.0,2013,Third,Manual,91618.0,Second,Petrol,Skoda
2797,Swift ZXI,1197.0,436000.0,2015,First,Manual,37196.0,First,Petrol,Maruti
2798,Ecosport 1.5,1497.0,775000.0,2019,First,Automatic,57167.0,Second,Petrol,Ford
2799,Nexon XZA,1497.0,963000.0,2020,Third,Automatic,73072.0,First,Diesel,Tata
2800,Wagon R,998.0,267000.0,2014,First,Manual,76800.0,First,Petrol,Maruti
2801,Aura S,1197.0,725000.0,2022,Third,Automatic,10000.0,First,Petrol,Hyundai
2802,XUV500 W11,2179.0,1250000.0,2018,Third,Manual,70000.0,First,Diesel,Mahindra
2803,Aura SX,1197.0,691000.0,2020,Third,Manual,20000.0,First,Petrol,Hyundai
2804,Hector Smart,1451.0,1750000.0,2021,Third,Automatic,20000.0,First,Petrol,MG
2805,3 Series,1995.0,400000.0,2010,Third,Automatic,20000.0,Third,Petrol,BMW
2806,Indica Aqua,1248.0,140000.0,2011,Third,Manual,60000.0,Second,Diesel,Tata
2807,Eeco 7,1196.0,420000.0,2021,Third,Manual,20000.0,First,Petrol,Maruti
2808,Wagon R,998.0,456000.0,2019,First,Manual,24147.0,First,Petrol,Maruti
2809,Verna 1.6,1582.0,500000.0,2015,Third,Manual,46892.0,Second,Diesel,Hyundai
2810,RediGO 1.0,999.0,246000.0,2018,Third,Manual,31356.0,Second,Petrol,Datsun
2811,Verna VTVT,1368.0,776000.0,2018,First,Manual,32092.0,First,Petrol,Hyundai
2812,City S,1497.0,327000.0,2012,First,Manual,27702.0,Second,Petrol,Honda
2813,Wagon R,998.0,233000.0,2012,Third,Manual,43902.0,Second,Petrol,Maruti
2814,Xcent 1.1,1120.0,273000.0,2015,Third,Manual,102967.0,Third,Diesel,Hyundai
2815,i20 1.2,1197.0,234000.0,2012,First,Manual,58496.0,Second,Petrol,Hyundai
2816,Grand i10,1197.0,391000.0,2018,Third,Manual,79783.0,Second,Petrol,Hyundai
2817,Swift VXI,1197.0,473000.0,2019,First,Manual,77042.0,First,Petrol,Maruti
2818,Urban cruiser,1462.0,919000.0,2022,First,Manual,25535.0,First,Petrol,Toyota
2819,Sonet GTX,998.0,975000.0,2020,Third,Manual,20897.0,Second,Petrol,Kia
2820,Zest Revotron,1193.0,325000.0,2015,Third,Manual,30000.0,First,Petrol,Tata
2821,City ZX,1497.0,850000.0,2020,Third,Automatic,30000.0,Second,Petrol,Honda
2822,RediGO 1.0,999.0,354000.0,2020,Third,Manual,10000.0,First,Petrol,Datsun
2823,Wagon R,998.0,450000.0,2018,Third,Manual,10000.0,First,Petrol,Maruti
2824,Grand i10,1197.0,190000.0,2013,Third,Manual,20000.0,Second,Petrol,Hyundai
2825,WR-V i-VTEC,1199.0,600000.0,2017,Third,Manual,50000.0,First,Petrol,Honda
2826,i10 Era,1086.0,130000.0,2008,Third,Manual,50000.0,First,Petrol,Hyundai
2827,Eeco 7,1196.0,175000.0,2010,Third,Manual,50000.0,Third,Petrol,Maruti
2828,Wagon R,998.0,280000.0,2015,First,Manual,71593.0,First,Petrol,Maruti
2829,Rapid 1.5,1498.0,838000.0,2019,Zerodep,Automatic,37243.0,First,Diesel,Skoda
2830,City i,1497.0,484000.0,2016,First,Manual,118569.0,Second,Petrol,Honda
2831,KUV 100,1198.0,436000.0,2017,Third,Manual,68832.0,Second,Petrol,Mahindra
2832,Alto 800,796.0,183000.0,2013,Third,Manual,47606.0,First,Petrol,Maruti
2833,Verna 1.6,1591.0,394000.0,2014,Third,Manual,82616.0,First,Petrol,Hyundai
2834,i10 Magna,1197.0,173000.0,2011,First,Manual,101142.0,First,Petrol,Hyundai
2835,Freestyle Trend,1498.0,512000.0,2018,Third,Manual,36970.0,First,Diesel,Ford
2836,City i,1497.0,439000.0,2015,First,Manual,79513.0,First,Petrol,Honda
2837,Alto 800,796.0,188000.0,2016,Third,Manual,99026.0,Third,Petrol,Maruti
2838,City i-VTEC,1497.0,793000.0,2019,Third,Manual,20593.0,First,Petrol,Honda
2839,i20 Diesel,1396.0,506000.0,2018,Third,Manual,91547.0,First,Diesel,Hyundai
2840,Ecosport 1.5,1498.0,480000.0,2014,Third,Manual,10000.0,First,Diesel,Ford
2841,Triber RXZ,999.0,550000.0,2020,Third,Manual,30000.0,First,Petrol,Renault
2842,i20 Asta,1197.0,900000.0,2021,Third,Manual,20000.0,First,Petrol,Hyundai
2843,City i,1498.0,550000.0,2014,Third,Manual,80000.0,First,Diesel,Honda
2844,A-Star Lxi,998.0,100000.0,2009,Third,Manual,80000.0,Second,Petrol,Maruti
2845,Swift LXI,1197.0,400000.0,2016,Third,Manual,30000.0,Second,Petrol,Maruti
2846,Camry Hybrid,2494.0,1200000.0,2014,Third,Automatic,70000.0,Third,Petrol,Toyota
2847,i20 1.2,1197.0,481000.0,2017,Third,Manual,32243.0,Second,Petrol,Hyundai
2848,Swift Dzire,1197.0,217000.0,2011,Third,Manual,62689.0,Third,Petrol,Maruti
2849,Grand i10,1197.0,292000.0,2015,First,Manual,110190.0,First,Petrol,Hyundai
2850,KWID RXL,799.0,358000.0,2019,First,Manual,40481.0,First,Petrol,Renault
2851,Swift Dzire,1197.0,326000.0,2014,Third,Manual,119236.0,First,Petrol,Maruti
2852,GO T,1198.0,172000.0,2014,Third,Manual,62884.0,First,Petrol,Datsun
2853,Grand i10,1197.0,325000.0,2015,Third,Manual,65039.0,Second,Petrol,Hyundai
2854,i20 Sportz,1197.0,400000.0,2016,Third,Manual,44292.0,Second,Petrol,Hyundai
2855,Grand i10,1197.0,468000.0,2019,First,Manual,20136.0,First,Petrol,Hyundai
2856,Ciaz 1.4,1373.0,743000.0,2018,First,Automatic,57986.0,First,Petrol,Maruti
2857,Ritz LDi,1248.0,140000.0,2010,Third,Manual,110000.0,Second,Diesel,Maruti
2858,EON Era,814.0,255000.0,2016,Third,Manual,60000.0,Second,Petrol,Hyundai
2859,Innova 2.5,2494.0,200000.0,2008,Third,Manual,150000.0,Second,Diesel,Toyota
2860,Santro Xing,1086.0,120000.0,2010,Third,Manual,70000.0,Second,Petrol,Hyundai
2861,Alto LX,796.0,80000.0,2008,Third,Manual,60000.0,Second,Petrol,Maruti
2862,WR-V i-VTEC,1199.0,600000.0,2017,Third,Manual,80000.0,First,Petrol,Honda
2863,Figo Petrol,1196.0,175000.0,2010,Third,Manual,40000.0,First,Petrol,Ford
2864,i20 1.2,1197.0,250000.0,2012,Third,Manual,20000.0,First,Petrol,Hyundai
2865,KUV 100,1198.0,418000.0,2019,Third,Manual,14917.0,First,Petrol,Mahindra
2866,i10 Magna,1197.0,183000.0,2010,Third,Manual,76351.0,Second,Petrol,Hyundai
2867,Ciaz Sigma,1462.0,723000.0,2019,Third,Manual,3089.0,Third,Petrol,Maruti
2868,Tigor XZA,1199.0,694000.0,2022,First,Automatic,6781.0,First,Petrol,Tata
2869,Rapid 1.0,999.0,967000.0,2020,First,Automatic,14049.0,First,Petrol,Skoda
2870,WR-V i-VTEC,1199.0,627000.0,2017,Third,Manual,32844.0,Second,Petrol,Honda
2871,Swift Dzire,1197.0,389000.0,2014,Third,Manual,76725.0,First,Petrol,Maruti
2872,S-Presso VXI,998.0,415000.0,2019,Third,Manual,53657.0,Second,Petrol,Maruti
2873,Compass Model,1956.0,2400000.0,2021,Third,Manual,20000.0,First,Diesel,Jeep
2874,Compass 2.0,1956.0,1400000.0,2018,Third,Manual,50000.0,First,Diesel,Jeep
2875,City ZX,1498.0,1399000.0,2022,Third,Manual,10000.0,First,Petrol,Honda
2876,Amaze VX,1199.0,830000.0,2021,Third,Automatic,20000.0,First,Petrol,Honda
2877,Ritz VXi,1197.0,160000.0,2010,Third,Manual,60000.0,Third,Petrol,Maruti
2878,Polo 1.2,1198.0,300000.0,2014,Third,Manual,60000.0,Second,Petrol,Volkswagen
2879,Thar LX,1997.0,1400000.0,2022,Third,Manual,10000.0,First,Petrol,Mahindra
2880,Alto K10,998.0,290000.0,2017,Third,Manual,30000.0,Second,Petrol,Maruti
2881,Grand i10,1197.0,650000.0,2021,Third,Manual,40000.0,First,Petrol,Hyundai
2882,Wagon R,998.0,140000.0,2009,Third,Manual,120000.0,Second,Petrol,Maruti
2883,Accent Executive,1495.0,190000.0,2011,Third,Manual,50000.0,First,Petrol,Hyundai
2884,i20 Sportz,1197.0,600000.0,2019,Third,Manual,10000.0,First,Petrol,Hyundai
2885,KWID 1.0,999.0,510000.0,2022,Third,Manual,10000.0,First,Petrol,Renault
2886,Creta 1.6,1582.0,1350000.0,2019,Third,Manual,30000.0,First,Diesel,Hyundai
2887,Verna VTVT,1591.0,900000.0,2018,Third,Manual,50000.0,First,Petrol,Hyundai
2888,Swift Dzire,1197.0,525000.0,2017,Third,Manual,30000.0,First,Petrol,Maruti
2889,Santro Xing,1086.0,130000.0,2010,Third,Manual,60000.0,Second,Petrol,Hyundai
2890,i20 Magna,1197.0,260000.0,2013,Third,Manual,60000.0,Fifth,Petrol,Hyundai
2891,Swift Dzire,1197.0,750000.0,2021,Third,Manual,20000.0,First,Petrol,Maruti
2892,Swift Dzire,1197.0,760000.0,2021,Third,Manual,20000.0,First,Petrol,Maruti
2893,Swift Dzire,1248.0,280000.0,2009,Third,Manual,80000.0,Second,Diesel,Maruti
2894,Grand i10,1197.0,430000.0,2017,Third,Manual,30000.0,First,Petrol,Hyundai
2895,Ecosport 1.5,1498.0,525000.0,2017,Third,Manual,80000.0,Second,Diesel,Ford
2896,Alto LX,796.0,45000.0,2004,Third,Manual,30000.0,First,Petrol,Maruti
2897,Xcent 1.1,1120.0,300000.0,2014,Third,Manual,80000.0,Second,Diesel,Hyundai
2898,Marazzo M6,1497.0,1250000.0,2020,Third,Manual,20000.0,First,Diesel,Mahindra
2899,Swift 1.3,1298.0,200000.0,2008,Third,Manual,50000.0,First,Petrol,Maruti
2900,XUV500 W8,2179.0,700000.0,2016,Third,Manual,80000.0,Second,Diesel,Mahindra
2901,Santro Xing,1086.0,100000.0,2007,Third,Manual,40000.0,First,Petrol,Hyundai
2902,Scorpio 1.99,1997.0,850000.0,2016,Third,Manual,120000.0,Second,Diesel,Mahindra
2903,Verna VTVT,1591.0,800000.0,2018,Third,Manual,40000.0,First,Petrol,Hyundai
2904,Indigo TDI,1405.0,115000.0,2009,Third,Manual,80000.0,First,Diesel,Tata
2905,Grand i10,1186.0,430000.0,2018,Third,Manual,50000.0,First,Diesel,Hyundai
2906,Wagon R,998.0,240000.0,2010,Third,Manual,60000.0,First,Petrol,Maruti
2907,Grand i10,1120.0,270000.0,2014,Third,Manual,90000.0,First,Diesel,Hyundai
2908,Wagon R,998.0,250000.0,2012,Third,Manual,30000.0,Second,Petrol,Maruti
2909,Wagon R,998.0,250000.0,2010,Third,Manual,150000.0,First,Petrol,Maruti
2910,Ssangyong Rexton,2696.0,1450000.0,2018,Third,Automatic,50000.0,First,Diesel,Mahindra
2911,KWID 1.0,999.0,540000.0,2022,Third,Automatic,10000.0,First,Petrol,Renault
2912,Alto 800,796.0,280000.0,2018,Third,Manual,60000.0,First,Petrol,Maruti
2913,Seltos GTX,1353.0,1600000.0,2020,Third,Automatic,40000.0,Second,Petrol,Kia
2914,New Accord,2354.0,400000.0,2011,Third,Automatic,90000.0,Second,Petrol,Honda
2915,Swift Dzire,1197.0,525000.0,2017,Third,Manual,30000.0,First,Petrol,Maruti
2916,Eeco 7,1196.0,430000.0,2019,Third,Manual,30000.0,First,Petrol,Maruti
2917,Spark 1.0,995.0,75000.0,2011,Third,Manual,20000.0,Second,Petrol,Chevrolet
2918,Creta SX,1497.0,1200000.0,2020,Third,Manual,20000.0,First,Petrol,Hyundai
2919,Camry W2,2362.0,479000.0,2008,Third,Automatic,60000.0,Second,Petrol,Toyota
2920,S-Presso VXI,998.0,450000.0,2020,Third,Manual,40000.0,First,Petrol,Maruti
2921,S-Presso VXI,998.0,400000.0,2020,Third,Manual,40000.0,First,Petrol,Maruti
2922,Alto 800,796.0,345000.0,2020,Third,Manual,10000.0,First,Petrol,Maruti
2923,Polo Diesel,1199.0,195000.0,2012,Third,Manual,60000.0,Second,Diesel,Volkswagen
2924,Polo Diesel,1199.0,250000.0,2012,Third,Manual,60000.0,Second,Diesel,Volkswagen
2925,SX4 VXI,1586.0,170000.0,2010,Third,Manual,90000.0,First,Petrol,Maruti
2926,Innova Crysta,2393.0,1650000.0,2016,Third,Manual,80000.0,First,Diesel,Toyota
2927,Swift VXI,1197.0,455000.0,2015,Third,Manual,30000.0,First,Petrol,Maruti
2928,Ignis 1.2,1197.0,450000.0,2017,Third,Manual,30000.0,First,Petrol,Maruti
2929,C-Class C,2200.0,1700000.0,2015,Third,Automatic,50000.0,First,Diesel,Mercedes-Benz
2930,Rapid 1.6,1598.0,700000.0,2017,Third,Manual,30000.0,First,Petrol,Skoda
2931,XUV500 W4,2179.0,950000.0,2018,Third,Manual,20000.0,First,Diesel,Mahindra
2932,Creta 1.6,1591.0,750000.0,2018,Third,Manual,30000.0,First,Petrol,Hyundai
2933,XUV500 W8,2179.0,750000.0,2014,Third,Manual,60000.0,First,Diesel,Mahindra
2934,Tavera 2,2499.0,180000.0,2010,Third,Manual,120000.0,First,Diesel,Chevrolet
2935,Verna 1.6,1591.0,550000.0,2016,Third,Automatic,30000.0,First,Petrol,Hyundai
2936,Swift Dzire,1197.0,410000.0,2015,Third,Manual,80000.0,First,Petrol,Maruti
2937,City i,1497.0,480000.0,2014,Third,Manual,50000.0,First,Petrol,Honda
2938,Estilo LXI,1061.0,115000.0,2010,Third,Manual,50000.0,Second,Petrol,Maruti
2939,Wagon R,998.0,231000.0,2011,Third,Manual,20000.0,First,Petrol,Maruti
2940,EON Era,814.0,150000.0,2012,Third,Manual,50000.0,Third,Petrol,Hyundai
2941,X5 xDrive,2998.0,9700000.0,2022,Third,Automatic,10000.0,First,Petrol,BMW
2942,Zen Estilo,1061.0,90000.0,2008,Third,Manual,40000.0,Second,Petrol,Maruti
2943,A4 Technology,1998.0,4800000.0,2022,Third,Automatic,10000.0,First,Petrol,Audi
2944,City Edge,1497.0,810000.0,2018,Third,Manual,20000.0,First,Petrol,Honda
2945,Verna 1.6,1591.0,510000.0,2016,Third,Manual,40000.0,First,Petrol,Hyundai
2946,Wagon R,998.0,150000.0,2005,Third,Manual,40000.0,Fourth,Petrol,Maruti
2947,Celerio VXI,998.0,250000.0,2014,Third,Automatic,60000.0,Second,Petrol,Maruti
2948,XUV500 AT,2179.0,860000.0,2017,Third,Automatic,50000.0,First,Diesel,Mahindra
2949,Duster 110PS,1461.0,350000.0,2012,Third,Manual,70000.0,Second,Diesel,Renault
2950,Verna 1.6,1582.0,675000.0,2017,Third,Manual,60000.0,First,Diesel,Hyundai
2951,Nano Twist,624.0,100000.0,2014,Third,Manual,50000.0,First,Petrol,Tata
2952,Civic 1.8,1799.0,250000.0,2010,Third,Automatic,50000.0,First,Petrol,Honda
2953,Xcent 1.2,1197.0,325000.0,2014,Third,Manual,40000.0,First,Petrol,Hyundai
2954,Aura S,1197.0,600000.0,2021,Third,Manual,30000.0,First,Petrol,Hyundai
2955,KWID RXL,799.0,270000.0,2018,Third,Manual,20000.0,First,Petrol,Renault
2956,Getz GLS,1341.0,75000.0,2006,Third,Manual,70000.0,Second,Petrol,Hyundai
2957,E-Class E250,2143.0,1500000.0,2014,Third,Automatic,70000.0,Second,Diesel,Mercedes-Benz
2958,Winger Deluxe,1948.0,250000.0,2014,Third,Manual,90000.0,Second,Diesel,Tata
2959,KWID 1.0,999.0,470000.0,2022,Third,Manual,10000.0,First,Petrol,Renault
2960,Alto 800,796.0,320000.0,2021,Third,Manual,10000.0,First,Petrol,Maruti
2961,Verna 1.6,1582.0,290000.0,2012,Third,Manual,150000.0,First,Diesel,Hyundai
2962,Xcent 1.2,1197.0,530000.0,2017,Third,Manual,30000.0,Second,Petrol,Hyundai
2963,Swift Dzire,1197.0,450000.0,2013,Third,Manual,30000.0,Second,Petrol,Maruti
2964,Jazz S,1198.0,260000.0,2012,Third,Manual,50000.0,Second,Petrol,Honda
2965,Sumo Gold,2956.0,400000.0,2015,Third,Manual,120000.0,First,Diesel,Tata
2966,Ignis Alpha,1197.0,650000.0,2021,Third,Manual,30000.0,First,Petrol,Maruti
2967,Verna VTVT,1368.0,640000.0,2018,Third,Manual,60000.0,First,Petrol,Hyundai
2968,Wagon R,998.0,400000.0,2018,Third,Manual,50000.0,First,Petrol,Maruti
2969,Hector Sharp,1451.0,1500000.0,2019,Third,Automatic,30000.0,First,Petrol,MG
2970,Scorpio S3,2523.0,850000.0,2019,Third,Manual,50000.0,Second,Diesel,Mahindra
2971,i20 Active,1197.0,450000.0,2015,Third,Manual,30000.0,Second,Petrol,Hyundai
2972,Grand i10,1197.0,500000.0,2016,Third,Manual,30000.0,First,Petrol,Hyundai
2973,Zen Estilo,998.0,60000.0,2008,Third,Manual,30000.0,First,Petrol,Maruti
2974,XUV500 AT,2179.0,930000.0,2017,Third,Automatic,50000.0,First,Diesel,Mahindra
2975,Ecosport 1.5,1498.0,415000.0,2015,Third,Manual,90000.0,Second,Diesel,Ford
2976,i20 Sportz,1197.0,720000.0,2022,Third,Manual,10000.0,First,Petrol,Hyundai
2977,Nexon 1.2,1198.0,685000.0,2019,Third,Manual,50000.0,First,Petrol,Tata
2978,Zen Estilo,998.0,80000.0,2008,Third,Manual,30000.0,First,Petrol,Maruti
2979,Ritz VXi,1197.0,190000.0,2010,Third,Manual,80000.0,Second,Petrol,Maruti
2980,Zen Estilo,998.0,75000.0,2008,Third,Manual,30000.0,First,Petrol,Maruti
2981,Mobilio V,1498.0,520000.0,2015,Third,Manual,50000.0,First,Diesel,Honda
2982,Indigo LS,1396.0,121000.0,2009,Third,Manual,70000.0,First,Diesel,Tata
2983,Getz GLS,1341.0,95000.0,2005,Third,Manual,90000.0,First,Petrol,Hyundai
2984,Verna 1.6,1591.0,350000.0,2011,Third,Manual,50000.0,Second,Petrol,Hyundai
2985,Duster 110PS,1461.0,500000.0,2013,Third,Manual,90000.0,Second,Diesel,Renault
2986,Beat LT,1199.0,120000.0,2012,Third,Manual,50000.0,First,Petrol,Chevrolet
2987,Triber RXE,999.0,460000.0,2021,Third,Manual,50000.0,First,Petrol,Renault
2988,Nexon XZA,1199.0,1100000.0,2022,Third,Automatic,10000.0,First,Petrol,Tata
2989,XUV500 W11,2179.0,1300000.0,2018,Third,Manual,60000.0,First,Diesel,Mahindra
2990,Seltos GTX,1353.0,1450000.0,2019,Third,Automatic,80000.0,First,Petrol,Kia
2991,Alto 800,796.0,180000.0,2012,Third,Manual,50000.0,First,Petrol,Maruti
2992,Ertiga VDI,1248.0,590000.0,2015,Third,Manual,60000.0,First,Diesel,Maruti
2993,WR-V VX,1199.0,850000.0,2021,Third,Manual,20000.0,First,Petrol,Honda
2994,XUV500 W11,2179.0,1250000.0,2019,Third,Manual,60000.0,Second,Diesel,Mahindra
2995,Baleno DualJet,1197.0,600000.0,2020,Third,Manual,50000.0,First,Petrol,Maruti
2996,Grand i10,1197.0,400000.0,2015,Third,Manual,90000.0,First,Petrol,Hyundai
2997,Q5 30,1968.0,1640000.0,2013,Third,Automatic,80000.0,Second,Diesel,Audi
2998,Venue S,1197.0,900000.0,2023,Third,Manual,10000.0,First,Petrol,Hyundai
2999,Zest Revotron,1193.0,200000.0,2015,Third,Manual,30000.0,Second,Petrol,Tata
3000,Beat PS,1199.0,175000.0,2011,Third,Manual,40000.0,First,Petrol,Chevrolet
3001,Ecosport 1.5,1498.0,345000.0,2013,Third,Manual,150000.0,First,Diesel,Ford
3002,A Class,2143.0,1200000.0,2016,Third,Automatic,40000.0,First,Diesel,Mercedes-Benz
3003,A4 2.0,1984.0,600000.0,2010,Third,Automatic,70000.0,First,Petrol,Audi
3004,City GXi,1497.0,200000.0,2007,Third,Manual,60000.0,Second,Petrol,Honda
3005,Etios G,1496.0,325000.0,2012,Third,Manual,40000.0,First,Petrol,Toyota
3006,Wagon R,1197.0,525000.0,2019,Third,Manual,20000.0,First,Petrol,Maruti
3007,Sunny Diesel,1461.0,280000.0,2012,Third,Manual,100000.0,First,Diesel,Nissan
3008,City i-VTEC,1497.0,950000.0,2019,Third,Manual,40000.0,First,Petrol,Honda
3009,Indigo LS,1396.0,115000.0,2009,Third,Manual,70000.0,First,Diesel,Tata
3010,City 1.5,1497.0,300000.0,2011,Third,Manual,50000.0,Second,Petrol,Honda
3011,Aveo 1.6,1598.0,150000.0,2006,Third,Manual,70000.0,Second,Petrol,Chevrolet
3012,City i,1497.0,650000.0,2015,Third,Manual,20000.0,First,Petrol,Honda
3013,Wagon R,998.0,85000.0,2005,Third,Manual,70000.0,Second,Petrol,Maruti
3014,Swift Dzire,1197.0,330000.0,2012,Third,Manual,70000.0,Second,Petrol,Maruti
3015,Alto LXi,796.0,100000.0,2008,Third,Manual,40000.0,Second,Petrol,Maruti
3016,Wagon R,1061.0,99999.0,2008,Third,Manual,40000.0,First,Petrol,Maruti
3017,Zest Quadrajet,1248.0,285000.0,2016,Third,Manual,120000.0,First,Diesel,Tata
3018,Q5 30,1968.0,1925000.0,2016,Third,Automatic,60000.0,Second,Diesel,Audi
3019,Verna 1.6,1582.0,396000.0,2013,Third,Manual,70000.0,Second,Diesel,Hyundai
3020,Swift Dzire,1248.0,220000.0,2010,Third,Manual,90000.0,Second,Diesel,Maruti
3021,Brio S,1198.0,220000.0,2012,Third,Manual,60000.0,Second,Petrol,Honda
3022,Polo 1.2,1198.0,330000.0,2014,Third,Manual,60000.0,Second,Petrol,Volkswagen
3023,Verna VTVT,1591.0,870000.0,2020,Third,Manual,60000.0,First,Petrol,Hyundai
3024,3 Series,1995.0,2500000.0,2018,Third,Automatic,30000.0,Third,Diesel,BMW
3025,i20 Sportz,1197.0,450000.0,2015,Third,Manual,50000.0,Second,Petrol,Hyundai
3026,Ecosport 1.5,1498.0,850000.0,2020,Third,Manual,20000.0,First,Diesel,Ford
3027,Xcent 1.2,1197.0,350000.0,2014,Third,Manual,50000.0,Second,Petrol,Hyundai
3028,Wagon R,998.0,295000.0,2014,Third,Manual,30000.0,First,Petrol,Maruti
3029,C-Class C,1991.0,2500000.0,2017,Third,Automatic,60000.0,First,Petrol,Mercedes-Benz
3030,Alto 800,796.0,240000.0,2017,Third,Manual,40000.0,First,Petrol,Maruti
3031,Amaze S,1199.0,540000.0,2019,Third,Manual,30000.0,First,Petrol,Honda
3032,Santro Xing,1086.0,96107.0,2009,Third,Manual,70000.0,Third,Petrol,Hyundai
3033,i20 1.2,1197.0,200000.0,2012,Third,Manual,90000.0,Second,Petrol,Hyundai
3034,Nano Cx,624.0,75000.0,2011,Third,Manual,30000.0,Second,Petrol,Tata
3035,Swift VXI,1197.0,575000.0,2019,Third,Manual,20000.0,First,Petrol,Maruti
3036,Ertiga ZDI,1248.0,400000.0,2013,Third,Manual,90000.0,Second,Diesel,Maruti
3037,Santro Sportz,1086.0,460000.0,2020,Third,Manual,10000.0,First,Petrol,Hyundai
3038,Aspire 1.2,1196.0,250000.0,2017,Third,Manual,100000.0,First,Petrol,Ford
3039,Alto LXi,796.0,125000.0,2010,Third,Manual,20000.0,First,Petrol,Maruti
3040,Ecosport 1.5,1496.0,863000.0,2020,Third,Manual,10000.0,First,Petrol,Ford
3041,Swift VDI,1248.0,325000.0,2012,Third,Manual,50000.0,First,Diesel,Maruti
3042,Amaze VX,1498.0,295000.0,2013,Third,Manual,50000.0,First,Diesel,Honda
3043,Wagon R,998.0,275000.0,2013,Third,Manual,50000.0,First,Petrol,Maruti
3044,Wagon R,998.0,175000.0,2010,Third,Manual,120000.0,First,Petrol,Maruti
3045,KWID 1.0,999.0,310000.0,2018,Third,Manual,30000.0,Second,Petrol,Renault
3046,Alto 800,796.0,230000.0,2015,Third,Manual,70000.0,First,Petrol,Maruti
3047,Brio E,1198.0,260000.0,2013,Third,Manual,50000.0,First,Petrol,Honda
3048,Alto 800,796.0,210000.0,2014,Third,Manual,70000.0,First,Petrol,Maruti
3049,City i,1497.0,400000.0,2016,Third,Manual,150000.0,First,Petrol,Honda
3050,Alto LX,796.0,100000.0,2008,Third,Manual,30000.0,First,Petrol,Maruti
3051,Santro Sportz,1086.0,350000.0,2018,First,Manual,68000.0,First,Petrol,Hyundai
3052,Baleno 1.3,1248.0,450000.0,2018,First,Manual,73000.0,First,Diesel,Maruti
3053,City V,1497.0,699000.0,2019,First,Manual,25000.0,First,Petrol,Honda
3054,City S,1497.0,349000.0,2013,First,Manual,57000.0,First,Petrol,Honda
3055,City EXi,1497.0,150000.0,2008,First,Manual,84000.0,Second,Petrol,Honda
3056,City S,1497.0,325000.0,2013,First,Manual,40000.0,First,Petrol,Honda
3057,XUV500 W11,2179.0,1150000.0,2018,First,Manual,64000.0,First,Diesel,Mahindra
3058,Innova Crysta,2393.0,1750000.0,2019,First,Manual,40000.0,First,Diesel,Toyota
3059,KUV 100,1198.0,375000.0,2018,Third,Manual,36900.0,First,Diesel,Mahindra
3060,Innova 2.5,2494.0,675000.0,2012,First,Manual,260000.0,First,Diesel,Toyota
3061,Scorpio S5,2179.0,1195000.0,2020,First,Manual,42503.0,First,Diesel,Mahindra
3062,Scorpio 1.99,1997.0,890000.0,2017,First,Manual,79955.0,Second,Diesel,Mahindra
3063,C5 Aircross,1997.0,1995000.0,2021,Third,Automatic,20700.0,Second,Diesel,Citroen
3064,Carens Luxury,1353.0,1482000.0,2022,First,Manual,22560.0,First,Petrol,Kia
3065,Polo 1.2,1199.0,365000.0,2016,First,Manual,65000.0,First,Petrol,Volkswagen
3066,E-Class Exclusive,1950.0,6900000.0,2021,Third,Automatic,2280.0,First,Diesel,Mercedes-Benz
3067,A6 35,1798.0,1999000.0,2016,First,Automatic,37000.0,First,Petrol,Audi
3068,Etios 1.4,1364.0,700000.0,2017,First,Manual,5000.0,Second,Diesel,Toyota
3069,Jazz S,1198.0,225000.0,2011,First,Manual,69000.0,First,Petrol,Honda
3070,Corolla Altis,1364.0,1495000.0,2018,First,Manual,19000.0,First,Diesel,Toyota
3071,i10 Sportz,1197.0,235000.0,2014,First,Manual,64000.0,Third,Petrol,Hyundai
3072,Amaze VX,1199.0,475000.0,2018,First,Manual,91000.0,First,Petrol,Honda
3073,i10 Magna,1197.0,285000.0,2011,First,Manual,28000.0,First,Petrol,Hyundai
